school_name,school_code,latitude,longitude,status,google_name,google_lat,google_lng,google_address,distance_m,your_pin_link,google_pin_link
SJK(T) LADANG WALBROOK,ABD1086,4.2581,100.7188,offset,Sekolah Tinggi Nan Hwa,4.2582539,100.7260165,"No.Lot 2446, Kampung Sungai Wangi, 32400 Ayer Tawar, Perak, Malaysia",800.0,"https://www.google.com/maps?q=4.2581,100.7188","https://www.google.com/maps?q=4.2582539,100.7260165"
SJK(T) LADANG CHEMOR,ABD2173,4.73815,101.12939,confirmed,SJK (T) Ladang Chemor,4.7382247,101.1294081,"Ladang, 31200 Chemor, Perak, Malaysia",9.0,"https://www.google.com/maps?q=4.73815,101.12939","https://www.google.com/maps?q=4.7382247,101.1294081"
SJK(T) THIRUVALLUVAR,ABD5102,4.027364,101.016611,confirmed,SJK (C) San Min 2,4.0284509,101.0175399,"No. 1, Jalan Putra, 36000, Teluk Intan, Perak, 570, Jalan Woo Saik Hong, Pekan Teluk Intan, 36000 Teluk Intan, Perak, Malaysia",159.0,"https://www.google.com/maps?q=4.027364,101.016611","https://www.google.com/maps?q=4.0284509,101.0175399"
SJK(T) LADANG SEMPAH,PBD4029,5.185553,100.509297,confirmed,Sjkt Ladang Sempah,5.185581,100.5095542,"Kampung Paya Kemian, 14200 Sungai Jawi, Pulau Pinang, Malaysia",29.0,"https://www.google.com/maps?q=5.185553,100.509297","https://www.google.com/maps?q=5.185581,100.5095542"
SJK(T) MERLIMAU,MBD1058,2.170344,102.433278,confirmed,SJK(T) Merlimau,2.1709799,102.4332652,"SJKT Merlimau, 77300 Merlimau, Melaka, Malaysia",71.0,"https://www.google.com/maps?q=2.170344,102.433278","https://www.google.com/maps?q=2.1709799,102.4332652"
SJK(T) GANDHI MEMORIAL,ABD4109,4.770876666,100.936196,confirmed,Malay College Kuala Kangsar,4.7743405,100.9372545,"Jalan Tun Razak, 33000 Kuala Kangsar, Perak, Malaysia",403.0,"https://www.google.com/maps?q=4.770876666,100.936196","https://www.google.com/maps?q=4.7743405,100.9372545"
SJK(T) LADANG SABAK BERNAM,BBD6040,3.757225,101.00416,not_on_google,,,,,,"https://www.google.com/maps?q=3.757225,101.00416",
SJK(T) GOPENG,ABD9001,4.464871,101.16381,confirmed,"Sekolah Kebangsaan Gopeng, Jalan Ilmu",4.4613362,101.1623367,"Jln Ilmu, Kopisan Baru, 31600 Gopeng, Perak, Malaysia",426.0,"https://www.google.com/maps?q=4.464871,101.16381","https://www.google.com/maps?q=4.4613362,101.1623367"
SJK(T) JALAN TEPI SUNGAI,BBD0076,3.050385,101.438534,confirmed,Sekolah Agama Menengah Sultan Hisamuddin,3.0468649,101.4375717,"Jalan Sungai Bertih, Kawasan 1, 41100 Klang, Selangor, Malaysia",406.0,"https://www.google.com/maps?q=3.050385,101.438534","https://www.google.com/maps?q=3.0468649,101.4375717"
SJK(T) LADANG BATU KAWAN,PBD4022,5.26768,100.430186,confirmed,SJK(T) Batu Kawan,5.2671123,100.4301795,"14110 Simpang Ampat, Penang, Malaysia",63.0,"https://www.google.com/maps?q=5.26768,100.430186","https://www.google.com/maps?q=5.2671123,100.4301795"
SJK(T) AZAD,PBD1082,5.433137,100.296644,confirmed,Sekolah Jenis Kebangsaan Tamil Azad,5.4331725,100.2967862,"Jalan Kebun Bungah, George Town, 10470 George Town, Pulau Pinang, Malaysia",16.0,"https://www.google.com/maps?q=5.433137,100.296644","https://www.google.com/maps?q=5.4331725,100.2967862"
SJK(T) APPAR,WBD0168,3.15941,101.694,confirmed,SJK(C) Chung Kwok,3.160596,101.6935511,"Jalan Merpati, off, Jln Raja Laut, Chow Kit, 50350 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",141.0,"https://www.google.com/maps?q=3.15941,101.694","https://www.google.com/maps?q=3.160596,101.6935511"
SJK(T) BAYAN LEPAS,PBD3031,5.29323,100.257,confirmed,SJK (T) Bayan Lepas,5.293165,100.2572419,"Jalan Permatang Damar Laut, Kampung Bukit, 11900 Bayan Lepas, Pulau Pinang, Malaysia",28.0,"https://www.google.com/maps?q=5.29323,100.257","https://www.google.com/maps?q=5.293165,100.2572419"
SJK(T) LADANG SUNGAI RAYA,KBD6019,6.365091,99.866413,confirmed,SJKT Ladang Sungai Raya,6.3648633,99.8661382,"Jalan Ayer Hangat, Kisap, 07000 Langkawi, Kedah, Malaysia",40.0,"https://www.google.com/maps?q=6.365091,99.866413","https://www.google.com/maps?q=6.3648633,99.8661382"
SJK(T) SELAMA,ABD6104,5.222207,100.688745,confirmed,SK Sri Selama,5.2224898,100.6902613,"Sekolah Jenis Kebangsaan (Tamil) Selama, Jalan Sir Chulan, 34100 Selama, Perak, Malaysia",171.0,"https://www.google.com/maps?q=5.222207,100.688745","https://www.google.com/maps?q=5.2224898,100.6902613"
SJK(T) KALAIVAANI,KBD3106,5.84138,100.5344,confirmed,Sekolah Jenis Kebangsaan (Cina) Mah Wah,5.8441681,100.5361686,"Padang Lembu, Gurun, Kampung Baru Padang Lembu, 08300 Gurun, Kedah, Malaysia",367.0,"https://www.google.com/maps?q=5.84138,100.5344","https://www.google.com/maps?q=5.8441681,100.5361686"
